mark,fuel,vol_engine,year,mileage,price
0,1,1598,2009,161000,16900
0,1,1598,2008,199000,16900
0,1,1796,2008,163800,13900
0,0,1910,2007,232000,9900
0,0,1686,2011,115000,17200
0,1,1796,2007,95000,12900
0,1,1598,2008,192000,17000
0,1,1796,2009,181987,14900
0,0,1910,2007,235000,11500
0,1,1796,2007,210020,12900
0,1,1598,2007,151841,15900
0,1,1598,2007,158880,16500
0,1,1364,2009,180000,13900
0,0,1686,2009,171000,16900
0,1,1364,2008,181000,13900
0,1,1598,2009,190000,16900
0,1,1598,2008,164500,11700
0,1,1598,2007,231740,11999
0,1,1600,2008,160000,13900
0,1,1598,2009,235524,15400
0,1,1598,2009,233000,14800
0,0,1910,2007,242000,13999
0,1,1598,2007,138000,15500
0,1,1364,2009,154000,11999
0,1,1598,2009,198853,11600
0,0,1686,2007,205000,9000
0,1,1598,2007,210000,14900
0,1,1598,2009,229000,16900
0,1,1364,2010,220000,13800
0,0,1910,2010,147000,15900
0,1,1598,2007,180000,10900
0,1,1598,2008,172900,17200
0,0,1910,2009,166030,16300
0,1,1598,2008,202260,15900
0,1,1598,2007,223000,10900
0,0,1686,2009,245000,10900
0,1,1364,2010,151650,19800
0,2,1598,2007,211759,10200
0,1,1598,2008,192000,14900
0,1,1400,2007,236000,12400
0,1,1598,2011,117950,19900
0,1,1796,2008,197800,16000
0,0,1686,2008,168000,15900
0,2,1364,2010,208517,17900
0,1,1598,2009,235000,15800
0,1,1598,2009,208247,15750
0,1,1364,2008,198000,13999
0,1,1598,2010,114000,18500
0,1,1598,2012,85000,23000
0,1,1796,2008,201200,15400
0,1,1598,2009,211000,14999
0,1,1598,2008,179000,16999
0,1,1598,2008,178531,17600
0,1,1598,2007,188121,12900
0,1,1598,2007,142107,16900
0,0,1910,2008,232700,12799
0,1,1364,2009,209000,13900
0,0,1686,2007,212000,13500
0,1,1364,2009,90515,16599
0,1,1598,2009,140000,16700
0,1,1598,2008,147800,16666
0,1,1598,2007,210500,11700
0,0,1686,2010,198000,14900
0,0,1910,2007,226000,12900
0,2,1598,2007,163500,13900
0,1,1598,2008,221903,18200
0,1,1598,2008,190000,14999
0,2,1796,2007,183000,14900
0,1,1598,2008,140000,16999
0,1,1364,2008,179000,14000
0,0,1686,2008,227000,13900
0,2,1364,2009,247908,12900
0,1,1598,2007,200000,14900
0,0,1910,2007,237500,14900
0,1,1796,2007,200000,16900
